ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
1132, Credit Administration Officer,Biomedical Engineer,Bsc.Geography ,7,Business Products & Services
1133, Commercial Residential Realtor,Chemical Engineer,Bsc.Computer Science ,2,Business Products & Services
1134, Marshall Goodness Industries Inc.,Civil Engineer,Bsc.Public Administration ,6,Insurance
1135, Real Estate Consultant and Developer,Computer Engineer,"BE,Electrical and Electronics Engineering ",7,Software
1136, Azure Technical Cloud Engineer,Data Scientist,Bsc.Computer Science ,5,Construction
1137, Bancassurance Relationship Officer,Electrical Engineer,Bsc.Computer Science ,5,Construction
1138, Account Intern / Client Service Assistant,Industrial Engineer,"BE,Civil Engineering ",10,Business Products & Services
1139, Creative Director ,Marine Engineer,Bsc.Sociology ,10,Business Products & Services
1140, Founder ,Mechanical Engineer,Bsc. Physiology,10,Advertising & Marketing
1141, Director ,Network Engineer,Bsc. Microbiology,3,Financial Services
1142, Research Assistant,Robotics Engineer,"BS, Biochemistry",6,Advertising & Marketing
1143, Lead Brand Strategist and Identity ...,Software Developer,"B.Sc, Microbiology, General",7,Travel & Hospitality
1144, Group Head Corporate Retail and ...,Software Engineer,Bachelor of Industrial Mathematics,6,Health
1145, Operations ,Systems Engineer,BSc Computer Science,7,Construction
1146, Sales Executive ,Web Developer,BS Marine Biology and Biological ,10,Software
1147, Appzone Group,Acupuncturist,"BScEd, Home Economics",5,Consumer Products & Services
1148, Chief Executive Officer ,Anesthesiologist,Bsc.Psychology ,6,Retail
1149, Deputy CEO ,Cardiologist,Bsc.Psychology ,5,Business Products & Services
1150, Planning and business development ...,Chiropractor,Bsc.Mass Communication ,6,Manufacturing
1151, Frontend Developer ,Dentist,Bsc.Biology/Biological ,0,Government Services
1152, St. Cloud State University,Dental Hygienist,Bsc.Electrical and Electronics Engineering ,4,Education
1153, Network Engineer ,Dietician,"Bsc,Economics ",8,Retail
1154, Graphic Designer ,Emergency Medical Technician (EMT),Bsc.Sociology ,10,Retail
1155, Administrative Assistant,Family Physician,Bsc.Computer Science ,5,Health
1156, senior advisor ,Genetic Counselor,Bsc.Mass Communication ,10,Construction
1157, Team Lead Manager,Massage Therapist,Bsc.Computer Science ,5,Logistics & Transportation
1158, Real Estate Agent ,Medical Assistant,B.Eng Mechanical Engineering ,7,Government Services
1159," Head, Health Settlement ",Nurse,"BASc, Management Information Systems",6,Business Products & Services
1160, Office Personal Assistant,Occupational Therapist,"BSc City/Urban, Community and Regional Planning",10,Construction
1161, Teacher ,Optometrist,BSc. Computer Science,10,Retail
1162," Editor, Chief Operating Officer",Orthodontist,B.Tech. Computer Engineering,7,Advertising & Marketing
1163, VIVA Cinemas,Pharmacist,BSc Fishing and Fisheries Sciences and Management,10,Logistics & Transportation
1164, Co,Physical Therapist,BSc Geology/Earth Science,8,Financial Services
1165, Business Development Manager,Physician Assistant,BSc Electrical and Electronics Engineering ,2,Software
1166, Product Manager ,Psychologist,"BSc, Business Administration and Management",10,Business Products & Services
1167, Ghana | Professional Profile,Radiologist,"Bachelor's degree, political Science ",10,Construction
1168, Face to Face fundraiser ,Registered Nurse (RN),"BS, Computer Science",4,Real Estate
1169, Finance Manager ,Speech-Language Pathologist,"BS, Computer Science",10,Advertising & Marketing
1170, Finance Officer ,Surgeon,"Bachelor of Arts - BA, Linguistics
",2,Consumer Products & Services
1171, Trainee Manager/Loss Control Officer,Veterinarian,BA Linguistics ,10,Business Products & Services
1172, Office Manager ,Lawyer,BSc Microbiology,7,Business Products & Services
1173, Warehouse Associate ,Law Enforcement Officer,BSc in Environmental Design,8,Travel & Hospitality
1174, Warehouse/Logistics Assistant ,Paralegal,BA Business Management ,7,IT Management
1175, Rand Merchant Bank,Politician,BA.Philosophy ,5,IT System Development
1176, Field Auditor ,Social Worker,Bsc.Economics ,8,Health
1177, Internal Control & Audit ,Astronomer,"LLB,Law ",7,Real Estate
1178, Program Director/CEO,Biochemist,Bsc.Micro Biology ,8,Human Resources
1179, DevOps Engineer ,Biologist,Bsc.Computer Science ,6,IT System Development
1180, Digital Marketing Manager,Chemist,Bsc.Biochemistry ,5,Travel & Hospitality
1181, Finance Controller ,Climatologist,Bsc.Economics ,0,Real Estate
1182, Financial Reporting Manager,Ecologist,Bsc.Accounting ,10,Business Products & Services
1183, Brains and Hammers,Geologist,Bsc.Marine Biology,10,Logistics & Transportation
1184, Facilities Manager (Volunteer),Marine Biologist,"BASc, Computer Science",5,Real Estate
1185, Product Manager ,Mathematician,"Bachelor's degree, Systems Engineering",7,Logistics & Transportation
1186," Federal Capital Territory, Nigeria",Meteorologist,"BS, Geophysics",5,Advertising & Marketing
1187, BCN,Paleontologist,"BSc, Computer Science with Economics",10,Health
1188, Head of Information Security ,Physicist,"BSc, Geography and Environmental Management",10,Advertising & Marketing
1189, Inventory Management and Control Supervisor,Research Scientist,"BS, Civil and Environmental Engineering",5,Real Estate
1190, Computer Technician/tutor ,Statistician,"BE, Mechanical Engineering",8,Travel & Hospitality
1191, Brand Consultant ,Counselor,"BSc, Computer Science",7,Construction
1192, Managing Director ,Life Coach,B.Sc. Electrical and Electronics Engineering,7,Energy
1193, Early childhood Education Sosionomi,Probation Officer,"BE, Computer Engineering",6,Computer Hardware
1194, Senior Clinical Research Associate,Social Worker,"BE, Computer Engineering",10,Retail
1195, AWS Devops Engineer ,Therapist,"Bachelor's degree, Economics",5,Health
1196, Enugu North ...,Barber,"Bachelor's degree, Computer Engineering",15,Food & Beverage
1197, Clearance Diver ,Carpenter,"BBA, Business Analytics",5,Media
1198, Quality Assurance Specialist ,Electrician,"BS, Computer Science",4,Consumer Products & Services
1199, Computer Networking and System ...,Hairdresser,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",10,Real Estate
1200, Head Of Marketing ,HVAC Technician,"Bachelor of Agriculture, Agricultural Economics",5,Manufacturing
1201, Sales Operation ,Landscaper,"BA, English Language and Literature",8,Telecommunications
1202, ESTATE/FACILITY MANAGER,Mechanic,"Bachelor’s Degree, Cinematography and Film/Video Production",8,Security
1203, Project Manager,Plumber,"BE, Mechanical Engineering",5,Government Services
1204," Head, People Strategy and Operations",Welder,BSc Electrical and Electronics Engineering ,8,Health
1205, Human Resource Manager,Athletic Trainer,"BTech, Computer Science",6,IT Management
1206, Publicity ,Event Planner,"Bachelor’s Degree, Electrical and Electronics Engineering",8,Advertising & Marketing
1207, Human Resource Manager ,Fitness Instructor,"BSc. (hons), Electrical & Electronic Engineering",10,Consumer Products & Services
1208, JET Recruitment Professionals,Flight Attendant,BSc Computer Science,5,Business Products & Services
1209, Human Resources Manager ,Hospitality Manager,B Tech. in Quantity Surveying,10,Food & Beverage
1210, Human Resources Manager ,Pilot,"BS, Computer Science",10,Health
1211, Human Resources Manager ,Travel Agent,"BA, English Language and Literature, General",9,Financial Services
1212, Human Resource Manager,Politician,"Bachelor's degree, Computer Science",10,Advertising & Marketing
1213, University of Lagos,Social Worker,"BE, Mechanical Engineering",0,Construction
1214, Human Resource Manager ,Astronomer,"Bachelor's degree, Mass Communication/Media Studies",10,Government Services
1215, Human Resource Manager ,Biochemist,"Bachelor of Science (B.Sc.), Computer Science",10,Health
1216, Human Resources Manager ,Biologist,B.Sc. Computer Science,10,Energy
1217, Human Resource Manager,Chemist,"Bachelor of Engineering - BE, Electronic Engineering",7,IT System Development
1218, Head Human Resources,Climatologist,"BS, Biochemistry",9,Environmental Services
1219, Software Engineer ,Ecologist,"Chemistry/Education , Education",5,Software
1220, Human Resources Manager,Geologist,"BEd, Guidance and counseling ",10,Financial Services
1221," Software Engineer, Frontend ",Marine Biologist,"Bachelor's degree, Biochemistry",5,Advertising & Marketing
1222, Human Resources Executive,Mathematician,LLB. Law,5,Consumer Products & Services
1223, Software Engineer ,Meteorologist,"B. Fisheries, Aquaculture",3,Financial Services
1224, People Operations & Service,Paleontologist,"BS, Biology/Biological Sciences, 
",8,Advertising & Marketing
1225, Human Resources / Administrative ...,Physicist,"Bachelor's degree, Natural Sciences( Microbiology)
",10,Business Products & Services
1226, Human Resource Information System ...,Research Scientist,"BSc, Accounting",0,IT Management
1227, Mobile Engineering Lead ,Statistician,B.Sc Accounting,7,IT System Development
1228, Full Stack Engineer ,Counselor,"BS, Accounting",6,Government Services
1229, Software Developer,Life Coach,"Bachelor of Laws - LLB, Law",10,Software
1230, Freelance Blogger ,Probation Officer,"BS, Geography",9,Insurance
1231, Nubian Nigeria Limited,Social Worker,"Bachelor's degree, civil engineering",10,IT System Development
1232, Veepee Group of Companies,Therapist,"BEng, Electronic & Computer Engineering ",10,Manufacturing
1233, Partnership executive/HR,Barber,"BE, Electrical and Electronics Engineering",9,Software
1234, Business Manager ,Carpenter,"BSc, Biochemistry",8,Real Estate
1235, Junior Software Engineer ,Electrician,"BBA, Business Administration and Management",10,Business Products & Services
1236, Back End Developer,Hairdresser,"BTech, urban and regional planning",15,Telecommunications
1237, Administrative Officer ,HVAC Technician,"BS, Computer Technology",3,Advertising & Marketing
1238, Software Engineer ,Landscaper,"BS, Computer Science",5,Security
1239, Human Resources Intern ,Mechanic,"Bachelor of Science - BS, Sociology",8,Advertising & Marketing
1240, N.U.E Offshore Resources Limited,Plumber,BSC Mass Communication ,8,Logistics & Transportation
1241, Lead Frontend Engineer ,Welder,"BSc, Agricultural Engineering And Environmental Engineering",5,Real Estate
1242, University of Lagos,Athletic Trainer,BSc (ED) Economics,4,Health
1243, Senior Human Resources Business ...,Event Planner,BSc Economics,3,IT Management
1244, Android Engineer ,Fitness Instructor,Bsc. Geology and Mineral Sciences,10,IT Management
1245, Web Developer ,Flight Attendant,Bsc. Petroleum engineering ,7,Financial Services
1246, edexcel International by Pearson UK,Hospitality Manager,Bsc. Sociology,7,Human Resources
1247, Electrical Engineer ,Pilot,Bsc. zoology/Animal Biology,10,Construction
1248, Product Design Intern ,Travel Agent,BSc Computer science/Cybersecutity ,7,Business Products & Services
1249, Pluto TV,Mechanic,BSc Industrial Chemistry ,10,Business Products & Services
1250, Human Resources Supervisor ,Plumber,"Bsc, Clinical Laboratory Science",8,Advertising & Marketing
1251, Digital Marketing Intern,Welder,"Bsc, Microbiology",7,Media
1252, Software Developer ,Athletic Trainer,"BSc, Nursing ",5,Business Products & Services
1253, Frontend Engineer,Event Planner,"BSc, Biochemistry",8,Media
1254, Rensource Energy,Fitness Instructor,BSc. Law,5,Consumer Products & Services
1255, University of Benin,Flight Attendant,"BSc, Statistics",5,Logistics & Transportation
1256, FAE Limited,Hospitality Manager,"Bachelors of Medicine, Bachelors of Surgery",7,Construction
1257, Electrical Engineer ,Pilot,B.Tech Applied Geology,6,Construction
1258, Project Manager ,Travel Agent,Bsc. Marketing ,10,IT System Development
1259, React Developer ,Life Coach,Bsc. Chemical Engineering ,10,Software
1260, Back End Developer ,Probation Officer,BSc Statistics ,10,Financial Services
1261, Business Development ,Social Worker,BSc Computer science ,4,Construction
1262, University of Lagos,Therapist,B.Arch Architecture ,10,Logistics & Transportation
1263, Software Test Engineer ,Barber,BSc Human Physiology,10,Health
1264, Co,Carpenter,BE Civil Engineering,5,Business Products & Services
1265, CALEB GROUP OF SCHOOLS,Electrician,BSc Tourism Management ,11,Financial Services
1266, Human Resources Manager ,Hairdresser,B.eng  Petroleum Engineering ,3,Engineering
1267, Software Engineer ,HVAC Technician,BSc Chemistry,0,Government Services
1268, Web Developer ,Landscaper,BSc Economics,7,Consumer Products & Services
1269, Senior Software Engineer ,Mechanic,BSc Economics,3,Construction
1270, Senior Software Engineer Team ...,Plumber,BSc Linguistics and communication studies,0,Food & Beverage
